epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,18550.2,1.38458,1.26354,0.01052,0.31829,0.6457,0.42706,0.27423,1.32003,1.88735,0.01265,0.0092179,0.0092179,0.0092179
81,18779.6,1.3778,1.28902,0.01126,0.33859,0.53503,0.3625,0.22429,1.35692,1.7784,0.0138,0.009208,0.009208,0.009208
82,19024.9,1.30151,1.22031,0.01057,0.37501,0.53639,0.36371,0.23186,1.3536,2.45066,0.01343,0.0091981,0.0091981,0.0091981
83,19251.6,1.32173,1.18925,0.01033,0.37191,0.60851,0.39669,0.25027,1.33802,1.90404,0.01335,0.0091882,0.0091882,0.0091882
84,19493.8,1.32095,1.14365,0.01021,0.39631,0.70062,0.49591,0.315,1.36909,1.72445,0.01374,0.0091783,0.0091783,0.0091783
85,19728.4,1.29705,1.17657,0.00988,0.50381,0.44485,0.43484,0.27766,1.41672,1.81125,0.01414,0.0091684,0.0091684,0.0091684
86,19971,1.32119,1.1535,0.01028,0.45205,0.51864,0.45676,0.30574,1.36266,1.73325,0.01352,0.0091585,0.0091585,0.0091585
87,20194.1,1.31216,1.12576,0.01005,0.33051,0.57081,0.3774,0.25629,1.30064,2.15353,0.0125,0.0091486,0.0091486,0.0091486
88,20427.1,1.28662,1.1223,0.01021,0.4081,0.55498,0.47895,0.30419,1.38951,1.76157,0.01363,0.0091387,0.0091387,0.0091387
89,20662.3,1.26688,1.09533,0.00988,0.32924,0.66616,0.38795,0.2311,1.47043,1.91069,0.01476,0.0091288,0.0091288,0.0091288
90,20908.7,1.2872,1.03948,0.0102,0.31743,0.57311,0.3498,0.22114,1.43826,2.67633,0.01423,0.0091189,0.0091189,0.0091189
91,21144.9,1.33122,1.13635,0.01077,0.3647,0.47284,0.33522,0.20672,1.34094,2.14384,0.0134,0.009109,0.009109,0.009109
92,21364.9,1.30758,1.18698,0.0101,0.37578,0.44326,0.37471,0.23444,1.44262,2.29351,0.01454,0.0090991,0.0090991,0.0090991
93,21617.1,1.31959,1.14163,0.01004,0.27253,0.48378,0.31791,0.19131,1.48603,2.00629,0.01523,0.0090892,0.0090892,0.0090892
94,21855.2,1.32226,1.16716,0.01068,0.33906,0.59029,0.37131,0.23946,1.44908,2.0494,0.01477,0.0090793,0.0090793,0.0090793
95,22065.2,1.32419,1.0879,0.01075,0.31518,0.56337,0.36108,0.20819,1.69543,2.06342,0.01818,0.0090694,0.0090694,0.0090694
96,22292.5,1.3001,1.10336,0.01038,0.42877,0.44149,0.40507,0.274,1.35355,2.10911,0.01385,0.0090595,0.0090595,0.0090595
97,22522,1.26714,1.07128,0.01017,0.34224,0.48753,0.39836,0.26011,1.3396,2.3734,0.01307,0.0090496,0.0090496,0.0090496
98,22754.9,1.25043,1.1039,0.0096,0.24708,0.53075,0.2815,0.1736,1.4145,2.4286,0.01414,0.0090397,0.0090397,0.0090397
99,22975.9,1.27301,1.05799,0.00977,0.46044,0.44584,0.44786,0.27974,1.32326,1.77768,0.01286,0.0090298,0.0090298,0.0090298
100,23226.8,1.28376,1.04392,0.0097,0.5095,0.54883,0.43622,0.26146,1.50618,1.79138,0.01562,0.0090199,0.0090199,0.0090199
101,23450.1,1.25755,1.03396,0.00973,0.36996,0.4533,0.35471,0.22221,1.42323,2.78853,0.01399,0.00901,0.00901,0.00901
102,23691.6,1.2503,1.03697,0.00948,0.31041,0.41222,0.22918,0.13465,1.67582,5.0977,0.017,0.0090001,0.0090001,0.0090001
103,23923.9,1.25994,1.08629,0.00985,0.27459,0.47108,0.27668,0.18543,1.41814,2.69997,0.0137,0.0089902,0.0089902,0.0089902
104,24164.6,1.25929,1.07974,0.00944,0.37052,0.48946,0.36659,0.23669,1.35874,2.51446,0.01351,0.0089803,0.0089803,0.0089803
105,24419.8,1.2675,1.07213,0.00978,0.32987,0.56107,0.38856,0.24157,1.48664,1.93177,0.01514,0.0089704,0.0089704,0.0089704
106,24649.7,1.25434,1.01418,0.00964,0.20842,0.65817,0.29405,0.16756,1.6292,2.61242,0.016,0.0089605,0.0089605,0.0089605
107,24866.7,1.22055,1.06278,0.00891,0.35419,0.40185,0.31532,0.18337,1.78994,2.229,0.01778,0.0089506,0.0089506,0.0089506
108,25119.8,1.26575,1.02153,0.00933,0.24554,0.4932,0.29643,0.18014,1.48563,2.68645,0.01471,0.0089407,0.0089407,0.0089407
109,25343.9,1.26105,1.02168,0.00949,0.26799,0.54863,0.28344,0.16504,1.41797,2.91253,0.014,0.0089308,0.0089308,0.0089308
110,25577.7,1.23875,0.99679,0.00954,0.35541,0.48022,0.37182,0.24827,1.33085,2.2736,0.01301,0.0089209,0.0089209,0.0089209
111,25816,1.21797,1.00883,0.00969,0.3114,0.49637,0.36446,0.22818,1.4309,2.17553,0.01441,0.008911,0.008911,0.008911
112,26067.8,1.22945,0.98109,0.00961,0.37731,0.54434,0.38148,0.23943,1.35942,2.18707,0.01335,0.0089011,0.0089011,0.0089011
113,26307.5,1.19263,0.93972,0.00942,0.36733,0.60951,0.42237,0.24635,1.53733,1.92764,0.01583,0.0088912,0.0088912,0.0088912
114,26559,1.16885,0.91419,0.00915,0.36747,0.476,0.38431,0.23312,1.39342,2.14433,0.01397,0.0088813,0.0088813,0.0088813
115,26786.3,1.21223,0.97263,0.0092,0.36559,0.49931,0.35612,0.21693,1.47054,2.11788,0.01523,0.0088714,0.0088714,0.0088714
116,27011.1,1.22262,1.0017,0.00955,0.35246,0.63823,0.40987,0.26069,1.33728,1.87245,0.01292,0.0088615,0.0088615,0.0088615
117,27232.3,1.20319,0.93436,0.00919,0.3103,0.67749,0.37841,0.24291,1.37182,1.85357,0.01348,0.0088516,0.0088516,0.0088516
118,27470.7,1.24215,0.99678,0.00989,0.36197,0.58988,0.41719,0.24796,1.43837,1.92891,0.01419,0.0088417,0.0088417,0.0088417
119,27694.9,1.19,0.93525,0.00886,0.35662,0.5982,0.41023,0.25482,1.44194,1.88215,0.0146,0.0088318,0.0088318,0.0088318
120,27944.2,1.17979,0.95422,0.00887,0.31976,0.6515,0.39707,0.25377,1.2664,2.21811,0.01282,0.0088219,0.0088219,0.0088219
121,28185.4,1.22599,1.0125,0.00928,0.30385,0.6396,0.34343,0.21327,1.39342,1.94665,0.01426,0.008812,0.008812,0.008812
122,28409.8,1.18605,0.90892,0.00898,0.361,0.55672,0.36062,0.22434,1.34369,2.51326,0.01303,0.0088021,0.0088021,0.0088021
123,28635.1,1.23783,1.00051,0.00955,0.42115,0.46103,0.3525,0.21828,1.43874,2.34275,0.01426,0.0087922,0.0087922,0.0087922
124,28877,1.2295,0.95478,0.00987,0.37402,0.35599,0.27633,0.16133,1.48318,2.79535,0.01481,0.0087823,0.0087823,0.0087823
125,29116.5,1.18513,0.91415,0.0089,0.43208,0.56942,0.39125,0.24307,1.40152,2.1393,0.01396,0.0087724,0.0087724,0.0087724
126,29354.9,1.17941,0.93856,0.00913,0.30928,0.48745,0.31134,0.18947,1.35215,2.67192,0.01356,0.0087625,0.0087625,0.0087625
127,29585.2,1.16903,0.88595,0.00833,0.34406,0.38084,0.30041,0.18837,1.45656,2.87497,0.01489,0.0087526,0.0087526,0.0087526
128,29824.6,1.19119,0.92797,0.00886,0.33585,0.58304,0.35428,0.21252,1.44291,2.39884,0.01482,0.0087427,0.0087427,0.0087427
129,30043.9,1.15851,0.88476,0.00859,0.33533,0.42636,0.31252,0.19322,1.4487,2.45398,0.01432,0.0087328,0.0087328,0.0087328
130,30264.1,1.13437,0.89249,0.00856,0.30003,0.56453,0.33511,0.20171,1.39083,2.44018,0.01382,0.0087229,0.0087229,0.0087229
131,30500,1.14778,0.89005,0.00871,0.33638,0.45913,0.34696,0.21963,1.46808,2.40031,0.01473,0.008713,0.008713,0.008713
132,30738.8,1.1635,0.89555,0.00907,0.46179,0.40356,0.39483,0.20585,1.82217,2.16808,0.01955,0.0087031,0.0087031,0.0087031
